ID	Names	InChIKey
111523	[(1R,2R,3S,4R)-2,3,4-trihydroxy-5-oxocyclohexyl]methyl phosphate|validone 7-phosphate	PHRGFHJFXSBMNT-BWJFPFNWSA-N
111542	(2R,3S,4R,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexan-1-one|validone	TWULXJXUBGDBOL-BWJFPFNWSA-N
11173	1,4-dihydroxy-2-naphthoate|1,4-dihydroxynaphthalene-2-carboxylate	VOJUXHHACRXLTD-UHFFFAOYSA-N
11222	1-[(4-amino-2-methylpyrimidin-5-yl)methyl]pyridinium|Heteropyrithiamine|heteropyrithiamine	SPQICHFDXHERAC-UHFFFAOYSA-N
11302	10-deacetyltaxuyunnanin C|10beta-hydroxytaxa-4(20),11-diene-2alpha,5alpha,14beta-triyl triacetate	RAKDXBHPGCOTQG-SFPMZPPXSA-N
11305	10-hydroxydecanoate|omega-hydroxycaprate|omega-hydroxydecanoate	YJCJVMMDTBEITC-UHFFFAOYSA-N
11320	13-hydroxydocosanoate	BYCZEMFWXYCUSJ-UHFFFAOYSA-N
11412	(2R,3S,4S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,4,5,7-tetrol|(2R,3S,4S)-leucocyanidin|2,3-trans-3,4-cis-Leucocyanidin|2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol|2r-(3,4-dihydroxyphenyl)chromane-3t,4t,5,7-tetrol|3,3',4,4',5,7-Flavanhexol|3,4-Cyanidiol|Leucoanthocyanidol|Leucocianidol|Leucocyanidol|Leukocyanidine|Procyanidol|Resivit	SBZWTSHAFILOTE-SOUVJXGZSA-N
11424	2,3-dihydroxy-3-methylbutanoate|2,3-dihydroxyisovalerate	JTEYKUFKXGDTEU-UHFFFAOYSA-N
11438	(2E,4E)-2,4-dichlorohexa-2,4-dienedioate|(2E,4E)-2,4-dichloromuconate	FHXOPKKNGKBBKG-UHFFFAOYSA-N
